@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3351831,M,WHI,Y,18/FA,,
3349685,F,WHI,,18/FA,,
3335651,F,WHI,,,16/FA,Y
2876612,F,WHI,,16/FA,,
3342814,M,HIS,Y,17/FA,,
3342757,F,AS,,17/FA,,
3322223,F,WHI,,15/FA,,
3342497,M,WHI,,17/FA,,
3349623,F,HIS,Y,18/FA,,Y
3324650,F,WHI,,15/FA,,
3345024,M,UNK,,,17/FA,Y
3347991,M,BL,,18/FA,,
3351520,F,WHI,,18/FA,,
3348154,F,WHI,,,18/SP,
3347626,F,WHI,,,18/FA,
3341645,F,WHI,,17/FA,,
3348652,F,BL,,18/FA,,
3343795,F,WHI,,17/FA,,
3341736,F,HIS,,17/FA,,Y
3316397,M,HIS,Y,14/FA,,Y
3335574,M,HIS,,16/FA,,
3325607,M,HIS,,15/FA,,
3352112,F,HIS,Y,,18/FA,Y
3315692,M,HIS,Y,14/FA,,Y
3331964,F,HIS,,16/FA,,
3350382,F,HIS,,18/FA,,
3340072,M,HIS,,17/FA,,
3353275,F,HIS,Y,18/FA,,Y
3340866,M,HIS,,17/FA,,
3315693,M,HIS,,14/FA,,
3349459,M,AS,,18/FA,,
3344255,M,BL,,17/FA,,Y
3347569,M,HIS,,18/FA,,
3338925,M,HIS,,17/FA,,
3330392,M,HIS,Y,,18/SP,Y
3313993,M,HIS,,15/FA,,
3344244,M,HIS,,17/FA,,Y
3343448,M,WHI,,17/FA,,
3322063,M,WHI,Y,15/FA,,
3351783,F,BL,,18/FA,,
3348761,M,WHI,,18/FA,,
3352543,F,WHI,,,18/FA,
3347712,F,WHI,,18/FA,,
3326605,M,HIS,,15/FA,,Y
3346887,F,WHI,,18/FA,,
3352832,F,WHI,,,18/FA,
3349819,M,WHI,,18/FA,,
3354065,M,WHI,,,18/FA,
3324475,F,WHI,,15/FA,,
3332999,F,HIS,,16/FA,,
3350902,M,WHI,,18/FA,,
2892462,F,WHI,,16/FA,,
3339263,F,WHI,,17/FA,,Y
3333311,M,BL,Y,16/FA,,
3341367,F,WHI,,17/FA,,
3344573,M,WHI,,17/FA,,
3321735,F,WHI,,15/FA,,
3323398,F,MUL,Y,15/FA,,
3348291,M,WHI,,18/FA,,
3322393,F,WHI,,15/FA,,
3340152,M,WHI,,17/FA,,
3324171,F,HIS,Y,15/FA,,
3340161,M,HIS,,17/FA,,
3341305,F,HIS,,17/FA,,
3322999,F,HIS,,15/FA,,
3332897,F,HIS,Y,16/FA,,Y
3346729,M,MUL,,18/FA,,
3350016,M,HIS,,18/FA,,Y
3323745,F,HIS,Y,15/FA,,Y
3324022,M,HIS,,15/FA,,
3340131,F,HIS,Y,17/FA,,Y
3352843,F,WHI,Y,,18/FA,Y
3341231,F,WHI,,17/FA,,
3346881,F,HIS,,18/FA,,
3351942,M,HIS,,18/FA,,
3323059,F,WHI,,15/FA,,Y
3340390,F,WHI,,17/FA,,
3348816,F,WHI,Y,18/FA,,
3335090,F,WHI,,16/FA,,
3349930,F,WHI,,18/FA,,Y
3332644,M,WHI,,,17/SP,
3332650,F,WHI,Y,,16/FA,Y
3333621,F,WHI,Y,16/FA,,
3332300,F,HIS,,16/FA,,
3341523,M,WHI,,17/FA,,
3339528,M,HIS,,17/FA,,Y
3339309,M,WHI,,17/FA,,
3348713,M,WHI,,18/FA,,
3332311,M,MUL,,16/FA,,
2907204,M,MUL,,18/FA,,
3351820,F,WHI,,18/FA,,Y
3325375,M,WHI,,15/FA,,
3350526,M,HIS,,18/FA,,
3342642,M,HIS,Y,17/FA,,Y
2516601,F,WHI,,,,
3350503,F,HIS,,18/FA,,Y
3332925,F,WHI,,16/FA,,
3350800,M,HIS,,18/FA,,
3340886,F,NRA,,17/FA,,
3323857,F,WHI,,15/FA,,
3300779,M,HIS,Y,15/FA,,Y
3333255,M,HIS,Y,16/FA,,Y
3352427,M,HIS,,18/FA,,
3323198,F,MUL,,15/FA,,Y
3348508,M,WHI,,18/FA,,Y
3325609,M,WHI,,16/FA,,
3348722,F,WHI,,18/FA,,
3340013,F,WHI,,17/FA,,
3317757,M,BL,,,,
3320262,M,WHI,,14/FA,,
3344524,M,HIS,,17/FA,,
3340698,M,WHI,,17/FA,,
3335907,F,WHI,,,16/FA,Y
3325776,M,WHI,,15/FA,,
3346238,F,UNK,,18/FA,,
2898678,F,WHI,,18/FA,,
3335790,F,WHI,,16/FA,,
3335704,F,WHI,,16/FA,,
3350203,M,BL,Y,18/FA,,Y
3353815,F,WHI,,,18/FA,
3350312,M,WHI,,18/FA,,
3327001,F,WHI,,15/FA,,Y
3339545,M,WHI,Y,,17/SP,
2885860,F,AS,,17/FA,,
3340316,F,WHI,,17/FA,,
3353146,M,WHI,,18/FA,,
3313322,M,WHI,Y,16/FA,,
3324483,M,WHI,,,16/SP,
3351414,F,WHI,,18/FA,,
2898872,M,WHI,,18/FA,,
3343386,M,MUL,,17/FA,,
3325233,F,WHI,Y,15/FA,,
3331045,M,HIS,,16/FA,,
3343323,M,BL,Y,17/FA,,Y
3351419,M,UNK,,,,
3334726,M,WHI,,16/FA,,
3348083,F,WHI,,18/FA,,
3322422,F,WHI,,15/FA,,Y
3349946,F,WHI,,18/FA,,
3342218,F,WHI,,17/FA,,
3326543,M,BL,,15/FA,,Y
3339837,M,HIS,,17/FA,,
3331013,F,WHI,,16/FA,,
3339165,M,WHI,,17/FA,,
3352771,F,WHI,,,18/FA,
3321348,F,WHI,,15/FA,,
3343710,F,WHI,Y,17/FA,,Y
3350247,M,WHI,Y,18/FA,,Y
3329342,F,AS,,,15/FA,Y
3316525,F,HIS,Y,14/FA,,Y
3352203,M,WHI,,18/FA,,
3331399,F,WHI,,16/FA,,
3340475,M,HIS,,17/FA,,
3345075,M,HIS,,17/FA,,Y
3322882,F,HIS,Y,15/FA,,Y
3324656,F,HIS,,15/FA,,Y
3349183,F,HIS,Y,18/FA,,Y
3340521,M,HIS,Y,17/FA,,
3348799,M,BL,,18/FA,,Y
3342076,F,HIS,Y,17/FA,,Y
3347915,F,HIS,Y,18/FA,,Y
3349481,M,WHI,,18/FA,,
3318921,M,WHI,,14/FA,,Y
3334205,M,BL,,16/FA,,Y
3351222,F,WHI,,18/FA,,
3340927,F,WHI,,17/FA,,
3352092,M,WHI,Y,18/FA,,Y
3331050,F,WHI,,16/FA,,
3325811,M,HIS,Y,15/FA,,Y
3347416,F,WHI,,18/FA,,
3324291,M,WHI,Y,15/FA,,Y
3343415,M,WHI,,17/FA,,
3351019,F,WHI,,18/FA,,
3353077,M,HIS,,18/FA,,
3323403,F,WHI,,15/FA,,
3323156,F,WHI,,15/FA,,
3346240,F,WHI,,18/FA,,
3354116,M,WHI,Y,,18/FA,Y
3322132,M,WHI,Y,15/FA,,Y
3327176,M,WHI,,16/FA,,
3335401,F,WHI,,,16/FA,
3338556,F,MUL,Y,17/FA,,
3353635,M,WHI,,18/FA,,
3331309,M,BL,,,16/SP,Y
3340418,M,WHI,Y,,17/SP,
